"ID", "Name", "Type", "Journal", "InternalName", "Zone", "ZoneID"
2955, "Capture Glademist Farm", 7, "I accepted a mission to help capture Glademist Farm for the Dominion.", "Capture Glademist Farm", "", 0
4174, "Scouting the Mine", 0, "Tovisa wants help at Northwind Mine. The Reachmen have taken over the mine and we need to find out why.", "Scouting the Mine", "", 0
5529, "Sacrament: Trader's Cove", 3, "I received a contract from the Speaker.", "DB-DS1 Q5529 Sacrament", "", 0
30, "Dark Brotherhood Assassination", 0, "Gotta kill 'em all.", "Assassination Mission", "", 0
4303, "Lighting the Shadows", 5, "The Spider Cult has come to Fungal Grotto. Members of the Fighters Guild, led by Defender Two-Blades, are determined to stop the Cult from raising an army of shadows that will destabilize the region.", "VDUN-FG Lighting the Shadows", "", 0
2697, "Scout Aleswell Mine", 7, "I accepted a mission to scout Aleswell Mine for the Dominion.", "Scout Aleswell Mine", "", 0
4448, "Kalodar's Farewell", 0, "I met a Nord woman who's searching for her father in the northern hills of the Rift.", "Q4448 Kalodar's Farewell", "", 0
2850, "Scout Blue Road Keep", 7, "I accepted a mission to scout Blue Road Keep for the Pact.", "Scout Blue Road Keep", "", 0
304, "The Thaw After the Frieze", 0, "", "The Thaw After the Frieze", "", 0
4030, "Shrine of Corruption", 0, "I met two Nord soldiers near the shrine of Kynesgrove. They claim that the shrine has been taken over by evil witches and that the rest of their brigade never returned from the shrine. Now they just wait, afraid to enter the shrine.", "Shrine of Corruption", "", 0
5677, "Contract: Greenshade", 3, "I accepted one of the Dark Brotherhood's murder-for-hire contracts. There are no stipulations regarding methods or timing, so I may execute the target at my discretion.", "DB-CON GS-WH Thalmor HQ", "", 0
3572, "Kill Twenty Daggerfall Guards", 7, "", "Kill Twenty Daggerfall Guards", "", 0
2569, "Legacy of the Three", 0, "I've discovered evidence of something amiss at the Windridge Caves in Alcaire. The fates of a knight and his comrades seem inexorably tied to the existence of The Three, a trio of bandit chieftains who once dwelled in these caves.", "Legacy of the Three", "", 0
5500, "Dousing the Fires of Industry", 7, "<<1>>, a former Legionary engineer, wants to slow down the bombardment of Imperial City from the Elven Gardens District.", "IC Elven Rep Q5500", "Clean Test", 2
3902, "A Son's Promise", 5, "I met a Dark Elf named Telbaril in a pocket of Evergloam known as Crow's Wood. He's trying to find his missing father, Rulantaril. He asked for my help.", "A Son's Promise", "", 0
3749, "Into the Mouth of Madness", 0, "Blessed by Veloth, I've come to Eidolon's Hollow to confront Magistrix Vox. It's time to end her threat once and for all.", "Into the Mouth of Madness", "Deshaan", 57
31, "TM01_OUTOFDATE", 0, "I must inform Lord Vincintian of an assassin in Camlorn.", "TM01_OUTOFDATE", "", 0
3344, "Satak was the First Serpent", 0, "I've come upon <<1>>, a sun-baked wanderer. He inhabits a murky oasis near Tu'whacca's Throne. The wanderer seems to be speaking in fables regarding Sep's Hunger and a pearl.", "Satak was the First Serpent", "", 0
51, "In Pursuit of Gargast", 0, "Countess Virolynn believes Gargast is bound for a town called Crosswych in Dwynnen.  Who ever he reports to, likely tied to this Shourded Thone, wait in Crosswych.", "In Pursuit of Gargast", "", 0
35, "Example Strings", 0, "", "Example Strings", "", 0
6347, "Dragon Lore: Shroud Hearth", 0, "Dragons have not been seen in Tamriel for generations, and the Khajiit are unsure how best to fight against them. The ancient Nords recorded Dragon fighting techniques on scrolls they keep in their crypts. I need to find these scrolls.", "EQTR9 FindTablet", "", 0
2637, "The Elder Scroll of Altadoon", 7, "Grand Warlord Dortene wants the <<1>> captured and brought into Covenant hands.", "AvA-COV-Capture Altadoon", "", 0
3675, "Last One Standing", 0, "<<1>> wants to get rid of <<2>>, the Khajiit in Alten Corimont. Since the Khajiit is running Dominion supply lines, her sudden demise would benefit both <<1>> and the rest of Shadowfen.", "Last One Standing", "", 0
57, "JR_NMSQ1", 0, "", "JR_NMSQ1", "", 0
4679, "The Shadow's Embrace", 0, "I decided to ask Faraniel for help getting into the tower. Before she shows me the secret, however, she wants me to help her convince the Wood Elves to leave the forest and stop working for Molag Bal.", "The Shadow's Embrace", "Coldharbour", 347
2687, "Scout Castle Roebeck", 7, "I accepted a mission to scout Castle Roebeck for the Dominion.", "Scout Castle Roebeck", "", 0
